stopId,long_name,short_name,latitude,longitude,accusative_case,genitive_case
13001223,Bæjarbraut / Blómahæð,Blómahæð,64.096422,-21.902784,Blómahæð,Blómahæðar
13001224,Karlabraut / Búðir,Búðir,64.08958,-21.904583,Búðum,Búða
13001225,Bæjarbraut / Maltakur,Maltakur,64.09602,-21.90212,Maltakri,Maltakurs
13001226,Fjölbrautaskólinn í Garðabæ / FG,FG,64.092585,-21.903221,FG,FG
13001227,Hofsstaðabraut / Hlíðarbyggð,Hlíðarbyggð,64.091082,-21.914151,Hlíðarbyggð,Hlíðarbyggðar
13001228,Garðatorg,Garðatorg,64.089524,-21.921489,Garðatorgi,Garðatorgs
13001232,IKEA,IKEA,64.075575,-21.913278,IKEA,IKEA
13001233,Flatahraun / Álftanesvegur,Álftanesvegur,64.077515,-21.929596,Álftanesvegi,Álftanesvegar
13001300,Ásgarður,Ásgarður,64.089679,-21.929797,Ásgarði,Ásgarðs
13001301,Ásabraut / Arnarás,Arnarás,64.09075,-21.942956,Arnarási,Arnaráss
13001302,Ásabraut / Birkiás,Birkiás,64.088076,-21.940529,Birkiási,Birkiáss
13001303,Ásabraut / Brekkuás,Brekkuás,64.086973,-21.942166,Brekkuási,Brekkuáss
13001304,Ásabraut / Hraunsholtsbraut,Hraunsholtsbraut,64.085691,-21.950248,Hraunholtsbraut,Hraunholtsbrautar
13001305,Álftanesvegur / Herjólfsgata,Herjólfsgata,64.085066,-21.968358,Herjólfsgötu,Herjólfsgötu
13001306,Álftanesvegur / Garðaholtsvegur,Garðaholtsvegur,64.089246,-21.982334,Garðaholtsvegi,Garðaholtsvegar
13001322,Garðahraun,Garðahraun,64.084827,-21.958036,Garðahrauni,Garðahrauns
13001323,Garðahraun,Garðahraun,64.084719,-21.957896,Garðahrauni,Garðahrauns
13001328,Álftanesvegur / Garðaholtsvegur,Garðaholtsvegur,64.088769,-21.981235,Garðaholtsvegi,Garðaholtsvegar
13001329,Álftanesvegur / Herjólfsgata,Herjólfsgata,64.08481,-21.967695,Herjólfsgötu,Herjólfsgötu
13001330,Vífilsstaðavegur / Sjáland,Sjáland,64.09163385,-21.94295756,Sjálandi,Sjálands
13001333,Vífilsstaðavegur / Sjáland,Sjáland,64.09182,-21.942956,Sjálandi,Sjálands
13001334,Garðatorg,Garðatorg,64.088165,-21.921699,Garðatorgi,Garðatorgs
13001335,Vídalínskirkja,Vídalínskirkja,64.086336,-21.915694,Vídalínskirkju,Vídalínskirkju
13001336,Vífilsstaðavegur / Sjávargrund,Sjávargrund,64.092021,-21.929626,Sjávargrund,Sjávargrundar
13001337,Vífilsstaðavegur / Markarflöt,Markarflöt,64.084208,-21.904143,Markarflöt,Markarflatar
13001338,Vífilsstaðir,Vífilsstaðir,64.082296,-21.890236,Vífilsstöðum,Vífilsstaða
13001339,Vífilsstaðavegur / Asparlundur,Asparlundur,64.084172,-21.902866,Asparlundi,Asparlundar
13001343,Suðurhraun,Suðurhraun,64.077767,-21.926526,Suðurhrauni,Suðurhrauns
13001344,Austurhraun / Suðurhraun,Suðurhraun,64.076161,-21.922743,Suðurhrauni,Suðurhrauns
13001345,Marel,Marel,64.076783,-21.918972,Marel,Marels
13001346,Austurhraun / Miðhraun,Miðhraun,64.078026,-21.914426,Miðhrauni,Miðhrauns
13001347,Austurhraun / Miðhraun,Miðhraun,64.078047,-21.914549,Miðhrauni,Miðhrauns
13001348,Marel,Marel,64.076844,-21.919126,Marel,Marels
13001349,Austurhraun / Suðurhraun,Suðurhraun,64.076222,-21.922933,Suðurhrauni,Suðurhrauns
13001350,Suðurhraun,Suðurhraun,64.077831,-21.926387,Suðurhrauni,Suðurhrauns
13001351,Ásabraut / Hraunsholtsbraut,Hraunsholtsbraut,64.085576,-21.950153,Hraunholtsbraut,Hraunholtsbrautar
13001352,Ásabraut / Brekkuás,Brekkuás,64.086953,-21.941986,Brekkuási,Brekkuáss
13001353,Ásabraut / Birkiás,Birkiás,64.088124,-21.940319,Birkiási,Birkiáss
13001354,Ásabraut / Arnarás,Arnarás,64.090879,-21.942775,Arnarási,Arnaráss
